filename,keyword,full_caption,source_title,source_desc,categories,image_url,
"Interior_of_The_Shoppes_at_Marina_Bay_Sands,_Singapore.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Interior of The Shoppes at Marina Bay Sands, Singapore.jpg. Description: Large view on the interior of the mall The Shoppes at Marina Bay Sands in Singapore. Illuminated corridors, escalator and transparent glass vaulted roof Categories: Taken with Canon EOS 5D Mark IV and Canon EF 11-24mm F4L USM|Featured pictures of Singapore|Fluorescent lamps|Self-published work|Commons featured widescreen desktop backgrounds|Transparent roofs|Roofs in Singapore|Singapore photographs taken on 2018-06-05|Corridors in Singapore|FoP-Singapore|Escalators in Singapore|Shop windows in Singapore|Exposure time 1.6 sec|Featured pictures of building interiors|Window reflections in Singapore|Files with coordinates missing SDC location of creation|Featured pictures by Basile Morin|Glass ceilings|Photographs by Basile Morin|Long exposure photography in architecture|Reflections on floors|Interior of The Shoppes at Marina Bay Sands|Published photographs by Basile Morin","File:Interior of The Shoppes at Marina Bay Sands, Singapore.jpg","Large view on the interior of the mall The Shoppes at Marina Bay Sands in Singapore. Illuminated corridors, escalator and transparent glass vaulted roof",Taken with Canon EOS 5D Mark IV and Canon EF 11-24mm F4L USM|Featured pictures of Singapore|Fluorescent lamps|Self-published work|Commons featured widescreen desktop backgrounds|Transparent roofs|Roofs in Singapore|Singapore photographs taken on 2018-06-05|Corridors in Singapore|FoP-Singapore|Escalators in Singapore|Shop windows in Singapore|Exposure time 1.6 sec|Featured pictures of building interiors|Window reflections in Singapore|Files with coordinates missing SDC location of creation|Featured pictures by Basile Morin|Glass ceilings|Photographs by Basile Morin|Long exposure photography in architecture|Reflections on floors|Interior of The Shoppes at Marina Bay Sands|Published photographs by Basile Morin,https://upload.wikimedia.org/wikipedia/commons/f/fe/Interior_of_The_Shoppes_at_Marina_Bay_Sands%2C_Singapore.jpg,
"Moscow,_vaulted_nave_ceiling_of_the_Cosmos_Pavilion.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Moscow, vaulted nave ceiling of the Cosmos Pavilion.jpg. Description: Vaulted nave ceiling of the Cosmos Pavilion, Moscow Categories: Files with coordinates missing SDC location of creation|Flickr images reviewed by FlickreviewR 2|Interior of the Space Pavilion|Photographs by Sergey Norin","File:Moscow, vaulted nave ceiling of the Cosmos Pavilion.jpg","Vaulted nave ceiling of the Cosmos Pavilion, Moscow",Files with coordinates missing SDC location of creation|Flickr images reviewed by FlickreviewR 2|Interior of the Space Pavilion|Photographs by Sergey Norin,https://upload.wikimedia.org/wikipedia/commons/8/86/Moscow%2C_vaulted_nave_ceiling_of_the_Cosmos_Pavilion.jpg,
"6._National_Museum_of_Scotland,_Edinburgh,_Scotland,_UK._Interior._The_vaulted-c.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: 6. National Museum of Scotland, Edinburgh, Scotland, UK. Interior. The vaulted-ceilinged Entrance Hall.jpg. Description: National Museum of Scotland, Edinburgh, Scotland, UK. Interior. The vaulted-ceilinged Entrance Hall. Categories: National Museum of Scotland|Self-published work|Interior of the National Museum of Scotland","File:6. National Museum of Scotland, Edinburgh, Scotland, UK. Interior. The vaulted-ceilinged Entrance Hall.jpg","National Museum of Scotland, Edinburgh, Scotland, UK. Interior. The vaulted-ceilinged Entrance Hall.",National Museum of Scotland|Self-published work|Interior of the National Museum of Scotland,https://upload.wikimedia.org/wikipedia/commons/9/9f/6._National_Museum_of_Scotland%2C_Edinburgh%2C_Scotland%2C_UK._Interior._The_vaulted-ceilinged_Entrance_Hall.jpg,
Vaulted_ceilings_(16875929358).jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Vaulted ceilings (16875929358).jpg. Description: Italy 2010 Categories: Flickr images reviewed by FlickreviewR|Photographs by Thomas Quine|Italy photographs taken on 2010-10-01|Duomo (Massa Marittima) - Interior,File:Vaulted ceilings (16875929358).jpg,Italy 2010,Flickr images reviewed by FlickreviewR|Photographs by Thomas Quine|Italy photographs taken on 2010-10-01|Duomo (Massa Marittima) - Interior,https://upload.wikimedia.org/wikipedia/commons/8/84/Vaulted_ceilings_%2816875929358%29.jpg,
"Tewkesbury_Abbey,_The_magnificent_lierne_vaulted_roof_from_the_crossing_-_geogra.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Tewkesbury Abbey, The magnificent lierne vaulted roof from the crossing - geograph.org.uk - 5482279.jpg. Description: Tewkesbury Abbey: The magnificent lierne vaulted roof from the crossing Categories: Images from Geograph Britain and Ireland|Ceilings in Tewkesbury Abbey","File:Tewkesbury Abbey, The magnificent lierne vaulted roof from the crossing - geograph.org.uk - 5482279.jpg",Tewkesbury Abbey: The magnificent lierne vaulted roof from the crossing,Images from Geograph Britain and Ireland|Ceilings in Tewkesbury Abbey,https://upload.wikimedia.org/wikipedia/commons/2/27/Tewkesbury_Abbey%2C_The_magnificent_lierne_vaulted_roof_from_the_crossing_-_geograph.org.uk_-_5482279.jpg,
Vaulted_Ceilings_at_Lichfield_Cathedral_(4835580762).jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Vaulted Ceilings at Lichfield Cathedral (4835580762).jpg. Description: Vaulted ceilings give strength to hold the heavy roof tiles Categories: Flickr images reviewed by FlickreviewR|Photographs by Thomas Quine|Interior of Lichfield Cathedral,File:Vaulted Ceilings at Lichfield Cathedral (4835580762).jpg,Vaulted ceilings give strength to hold the heavy roof tiles,Flickr images reviewed by FlickreviewR|Photographs by Thomas Quine|Interior of Lichfield Cathedral,https://upload.wikimedia.org/wikipedia/commons/8/8f/Vaulted_Ceilings_at_Lichfield_Cathedral_%284835580762%29.jpg,
Aa_St._Marys_Church_Bury_St.Edmunds_interior_006.jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Aa St. Marys Church Bury St.Edmunds interior 006.jpg. Description: SONY DSC Categories: Self-published work|Church paintings in Suffolk|Painted church ceilings in the United Kingdom|St. Mary's Church, Bury St. Edmunds (ceilings)",File:Aa St. Marys Church Bury St.Edmunds interior 006.jpg,SONY DSC,"Self-published work|Church paintings in Suffolk|Painted church ceilings in the United Kingdom|St. Mary's Church, Bury St. Edmunds (ceilings)",https://upload.wikimedia.org/wikipedia/commons/6/65/Aa_St._Marys_Church_Bury_St.Edmunds_interior_006.jpg,
Ceiling_in_St_Mungo_tomb.jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Ceiling in St Mungo tomb.jpg. Description: Quite pleased with the colours here... Categories: Taken with Canon EOS 400D|Flickr images reviewed by FlickreviewR|Church ceilings in the United Kingdom|Glasgow Cathedral (interior),File:Ceiling in St Mungo tomb.jpg,Quite pleased with the colours here...,Taken with Canon EOS 400D|Flickr images reviewed by FlickreviewR|Church ceilings in the United Kingdom|Glasgow Cathedral (interior),https://upload.wikimedia.org/wikipedia/commons/7/72/Ceiling_in_St_Mungo_tomb.jpg,
Exeter_cathedral_(17154726411).jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Exeter cathedral (17154726411).jpg. Description: Exeter cathedral Categories: Interior of Exeter Cathedral|Flickr images reviewed by FlickreviewR|Vaulted ceiling, Nave of Exeter Cathedral",File:Exeter cathedral (17154726411).jpg,Exeter cathedral,"Interior of Exeter Cathedral|Flickr images reviewed by FlickreviewR|Vaulted ceiling, Nave of Exeter Cathedral",https://upload.wikimedia.org/wikipedia/commons/7/73/Exeter_cathedral_%2817154726411%29.jpg,
Port-Sainte-Marie_-_Église_Notre-Dame_-_04.jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Port-Sainte-Marie - Église Notre-Dame - 04.jpg. Description: Port-Sainte-Marie (Lot-et-Garonne, France) - Church of Our Lady - Vaulted ceiling Categories: GFDL|License migration redundant|CC-BY-SA-4.0,3.0,2.5,2.0,1.0|Self-published work|Church ceilings in Loiret|France photographs taken on 2024-12-29|Files by Benjism89|Interior of Église Notre-Dame de Port-Sainte-Marie",File:Port-Sainte-Marie - Église Notre-Dame - 04.jpg,"Port-Sainte-Marie (Lot-et-Garonne, France) - Church of Our Lady - Vaulted ceiling","GFDL|License migration redundant|CC-BY-SA-4.0,3.0,2.5,2.0,1.0|Self-published work|Church ceilings in Loiret|France photographs taken on 2024-12-29|Files by Benjism89|Interior of Église Notre-Dame de Port-Sainte-Marie",https://upload.wikimedia.org/wikipedia/commons/5/50/Port-Sainte-Marie_-_%C3%89glise_Notre-Dame_-_04.jpg,
"Ceiling_of_Henry_VII_Chapel,_Westminster_Abbey.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Ceiling of Henry VII Chapel, Westminster Abbey.jpg. Description: Ceiling of Henry VII Chapel, Westminster Abbey. The fan- and pendant-vaulted ceiling is covered with stone tracery. Flags for members of the Order of the Bath can be seen at the sides. Categories: Interior of Henry VII Lady Chapel|Self-published work|Fan vaults in London|Tracery in England|Ceilings of Westminster Abbey|Banners of Knights Grand Cross of the Bath in Henry VII Lady Chapel, Westminster Abbey","File:Ceiling of Henry VII Chapel, Westminster Abbey.jpg","Ceiling of Henry VII Chapel, Westminster Abbey. The fan- and pendant-vaulted ceiling is covered with stone tracery. Flags for members of the Order of the Bath can be seen at the sides.","Interior of Henry VII Lady Chapel|Self-published work|Fan vaults in London|Tracery in England|Ceilings of Westminster Abbey|Banners of Knights Grand Cross of the Bath in Henry VII Lady Chapel, Westminster Abbey",https://upload.wikimedia.org/wikipedia/commons/b/b3/Ceiling_of_Henry_VII_Chapel%2C_Westminster_Abbey.jpg,
Garston_Library_interior_1.jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Garston Library interior 1.jpg. Description: Showing vaulted ceilings Categories: Rodhullandemu images|Interior of Garston Library|Self-published work|Ceilings in Liverpool,File:Garston Library interior 1.jpg,Showing vaulted ceilings,Rodhullandemu images|Interior of Garston Library|Self-published work|Ceilings in Liverpool,https://upload.wikimedia.org/wikipedia/commons/7/7f/Garston_Library_interior_1.jpg,
Richmond_St_Matthias_interior_002.jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Richmond St Matthias interior 002.jpg. Description: Vaulted ceiling of the nave in the parish church of St Matthias, Richmond upon Thames, London (formerly Surrey) Categories: Self-published work|Vaults in London|Gothic Revival vaults in the United Kingdom|Church ceilings in London|Wooden church ceilings in England|St Matthias Church, Richmond - interior",File:Richmond St Matthias interior 002.jpg,"Vaulted ceiling of the nave in the parish church of St Matthias, Richmond upon Thames, London (formerly Surrey)","Self-published work|Vaults in London|Gothic Revival vaults in the United Kingdom|Church ceilings in London|Wooden church ceilings in England|St Matthias Church, Richmond - interior",https://upload.wikimedia.org/wikipedia/commons/f/f6/Richmond_St_Matthias_interior_002.jpg,
"Upton_Hellions,_St._Mary_the_Virgin_Church,_The_nave_wagon_roof_still_with_its_a.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Upton Hellions, St. Mary the Virgin Church, The nave wagon roof still with its ancient wooden bosses - geograph.org.uk - 5748740.jpg. Description: Upton Hellions, St. Mary the Virgin Church: The nave wagon roof still with its ancient wooden bosses Categories: Images from Geograph Britain and Ireland|Church ceilings in England|St Mary the Virgin, Upton Hellions (interior)|Vaulted ceilings in Devon","File:Upton Hellions, St. Mary the Virgin Church, The nave wagon roof still with its ancient wooden bosses - geograph.org.uk - 5748740.jpg","Upton Hellions, St. Mary the Virgin Church: The nave wagon roof still with its ancient wooden bosses","Images from Geograph Britain and Ireland|Church ceilings in England|St Mary the Virgin, Upton Hellions (interior)|Vaulted ceilings in Devon",https://upload.wikimedia.org/wikipedia/commons/b/b4/Upton_Hellions%2C_St._Mary_the_Virgin_Church%2C_The_nave_wagon_roof_still_with_its_ancient_wooden_bosses_-_geograph.org.uk_-_5748740.jpg,
Santa_Giustina_(Padua)_-_Corridor_of_the_Martyrs_-_Ceiling.jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Santa Giustina (Padua) - Corridor of the Martyrs - Ceiling.jpg. Categories: Self-published work|Images by Archaeodontosaurus Padua|Paintings without Wikidata item|Files with coordinates missing SDC location of creation|June 2016 in Padua|Santa Giustina (Padua) - Corridor of the Martyrs|Italy photographs taken on 2016-06-01|Images by Archaeodontosaurus Eglises and Temples,File:Santa Giustina (Padua) - Corridor of the Martyrs - Ceiling.jpg,,Self-published work|Images by Archaeodontosaurus Padua|Paintings without Wikidata item|Files with coordinates missing SDC location of creation|June 2016 in Padua|Santa Giustina (Padua) - Corridor of the Martyrs|Italy photographs taken on 2016-06-01|Images by Archaeodontosaurus Eglises and Temples,https://upload.wikimedia.org/wikipedia/commons/e/e4/Santa_Giustina_%28Padua%29_-_Corridor_of_the_Martyrs_-_Ceiling.jpg,
Caerphilly_Castle_61.jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Caerphilly Castle 61.jpg. Description: Caerphilly Castle, Wales. Categories: Interior of Caerphilly Castle|Self-published work|Listed buildings in Wales with known IDs|Vaulted ceilings in Wales|Photos by Simon Burchell|Pointed arch doors",File:Caerphilly Castle 61.jpg,"Caerphilly Castle, Wales.",Interior of Caerphilly Castle|Self-published work|Listed buildings in Wales with known IDs|Vaulted ceilings in Wales|Photos by Simon Burchell|Pointed arch doors,https://upload.wikimedia.org/wikipedia/commons/c/c5/Caerphilly_Castle_61.jpg,
(Venice)_Stucco_coffered_ceiling_-_Staircase_of_the_Biblioteca_Nazinale_Marciana.jpg,Coffered Ceiling,An interior architectural photo of Coffered Ceiling. Title: (Venice) Stucco coffered ceiling - Staircase of the Biblioteca Nazinale Marciana.jpg. Categories: Artworks without Wikidata item|PD-old-100-expired|Self-published work|Italy photographs taken on 2023-05-12|CC-PD-Mark|Images by Archaeodontosaurus Venice Correr|Files with coordinates missing SDC location of creation|May 2023 in Venice|Biblioteca Nazionale Marciana (Venice) - Interior,File:(Venice) Stucco coffered ceiling - Staircase of the Biblioteca Nazinale Marciana.jpg,,Artworks without Wikidata item|PD-old-100-expired|Self-published work|Italy photographs taken on 2023-05-12|CC-PD-Mark|Images by Archaeodontosaurus Venice Correr|Files with coordinates missing SDC location of creation|May 2023 in Venice|Biblioteca Nazionale Marciana (Venice) - Interior,https://upload.wikimedia.org/wikipedia/commons/6/65/%28Venice%29_Stucco_coffered_ceiling_-_Staircase_of_the_Biblioteca_Nazinale_Marciana.jpg,
Coffered_ceiling_and_beamed_ceiling_(2495620332).jpg,Coffered Ceiling,An interior architectural photo of Coffered Ceiling. Title: Coffered ceiling and beamed ceiling (2495620332).jpg. Description: Coffered ceiling and beamed ceiling Categories: Interiors of houses|Flickr images reviewed by FlickreviewR 2,File:Coffered ceiling and beamed ceiling (2495620332).jpg,Coffered ceiling and beamed ceiling,Interiors of houses|Flickr images reviewed by FlickreviewR 2,https://upload.wikimedia.org/wikipedia/commons/3/38/Coffered_ceiling_and_beamed_ceiling_%282495620332%29.jpg,
Home_ideas_coffered_ceiling_rva_(16182753312).jpg,Coffered Ceiling,An interior architectural photo of Coffered Ceiling. Title: Home ideas coffered ceiling rva (16182753312).jpg. Description: Home ideas coffered ceiling rva Categories: Interiors of houses|Flickr images reviewed by FlickreviewR 2,File:Home ideas coffered ceiling rva (16182753312).jpg,Home ideas coffered ceiling rva,Interiors of houses|Flickr images reviewed by FlickreviewR 2,https://upload.wikimedia.org/wikipedia/commons/6/63/Home_ideas_coffered_ceiling_rva_%2816182753312%29.jpg,
Pisa_Cathedral_interior_and_ceiling_01.jpg,Coffered Ceiling,An interior architectural photo of Coffered Ceiling. Title: Pisa Cathedral interior and ceiling 01.jpg. Description: The interoir and ceiling of Pisa Cathedral as seen from its main entrance. Categories: Self-published work|Files with coordinates missing SDC location of creation|October 2019 in Pisa|Interior of the Cathedral (Pisa) - Nave|Coffered ceiling - Cathedral of Pisa,File:Pisa Cathedral interior and ceiling 01.jpg,The interoir and ceiling of Pisa Cathedral as seen from its main entrance.,Self-published work|Files with coordinates missing SDC location of creation|October 2019 in Pisa|Interior of the Cathedral (Pisa) - Nave|Coffered ceiling - Cathedral of Pisa,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pisa_Cathedral_interior_and_ceiling_01.jpg,
Coffered_ceiling_(2)_(5037340981).jpg,Coffered Ceiling,An interior architectural photo of Coffered Ceiling. Title: Coffered ceiling (2) (5037340981).jpg. Description: Coffered ceiling (2) Categories: Interiors of houses|Flickr images reviewed by FlickreviewR 2,File:Coffered ceiling (2) (5037340981).jpg,Coffered ceiling (2),Interiors of houses|Flickr images reviewed by FlickreviewR 2,https://upload.wikimedia.org/wikipedia/commons/e/e9/Coffered_ceiling_%282%29_%285037340981%29.jpg,
